Dune 1;/opt/brickdos/dos/start-pi-x/Dune 1.sh
Dune 2;/opt/brickdos/dos/start-pi-x/Dune 2.sh
Dungeon Keeper;/opt/brickdos/dos/start-pi-x/Dungeon Keeper.sh
Dungeon Keeper - Deeper Dungeons;/opt/brickdos/dos/start-pi-x/Dungeon Keeper - Deeper Dungeons.sh
Dungeon Master 1;/opt/brickdos/dos/start-pi-x/Dungeon Master 1.sh
Dungeon Master 2;/opt/brickdos/dos/start-pi-x/Dungeon Master 2.sh
Eishockey Manager;/opt/brickdos/dos/start-pi-x/Eishockey Manager.sh
Fallout 1;/opt/brickdos/dos/start-pi-x/Fallout.sh
Flight Simulator 4;/opt/brickdos/dos/start-pi-x/Flight Simulator 4.sh
Flight Simulator 5;/opt/brickdos/dos/start-pi-x/Flight Simulator 5.sh
Gobliiins;/opt/brickdos/scummvm/start-pi/Gobliiins.sh
Gobliins 2;/opt/brickdos/scummvm/start-pi/Gobliins 2.sh
Goblins 3;/opt/brickdos/scummvm/start-pi/Goblins 3.sh
Grand Theft Auto 1;/opt/brickdos/dos/start-pi-x/Grand Theft Auto 1.sh
Grand Theft Auto 1 - London 1961;/opt/brickdos/dos/start-pi-x/Grand Theft Auto 1 - London 1961.sh
Grand Theft Auto 1 - London 1969;/opt/brickdos/dos/start-pi-x/Grand Theft Auto 1 - London 1969.sh
Heroes of Might and Magic 1;/opt/brickdos/dos/start-pi-x/Heroes of Might and Magic 1.sh
Heroes of Might and Magic 2;/opt/brickdos/dos/start-pi-x/Heroes of Might and Magic 2.sh
Indiana Jones and the Last Crusade;/opt/brickdos/scummvm/start-pi/Indiana Jones and the Last Crusade.sh
Indiana Jones and the Fate of Atlantis;/opt/brickdos/scummvm/start-pi/Indiana Jones and the Fate of Atlantis.sh
IndyCar Racing;/opt/brickdos/dos/start-pi-x/IndyCar Racing 1.sh
King's Quest 1 - Quest for the Crown;/opt/brickdos/scummvm/start-pi/Kings Quest 1.sh
King's Quest 2 - Romancing the Throne;/opt/brickdos/scummvm/start-pi/Kings Quest 2.sh
King's Quest 3 - To Heir Is Human;/opt/brickdos/scummvm/start-pi/Kings Quest 3.sh
King's Quest 4 - The Perils of Rosella;/opt/brickdos/scummvm/start-pi/Kings Quest 4.sh
King's Quest 5 - Absence Makes the Heart Go Yonder!;/opt/brickdos/scummvm/start-pi/Kings Quest 5.sh
King's Quest 6 - Heir Today, Gone Tomorrow;/opt/brickdos/scummvm/start-pi/Kings Quest 6.sh
King's Quest 7 - The Princeless Bride;/opt/brickdos/scummvm/start-pi/Kings Quest 7.sh
Leisure Suit Larry 1 - in the Land of the Lounge Lizards;/opt/brickdos/scummvm/start-pi/Leisure Suit Larry 1.sh
Leisure Suit Larry 2 - Goes Looking for Love (in Several Wrong Places);/opt/brickdos/scummvm/start-pi/Leisure Suit Larry 2.sh
Leisure Suit Larry 3 - Passionate Patti in Pursuit of the Pulsating Pectorals;/opt/brickdos/scummvm/start-pi/Leisure Suit Larry 3.sh
Leisure Suit Larry 5 - Passionate Patti Does a Little Undercover Work;/opt/brickdos/scummvm/start-pi/Leisure Suit Larry 5.sh
Leisure Suit Larry 6 - Shape Up or Slip Out!;/opt/brickdos/scummvm/start-pi/Leisure Suit Larry 6.sh
Leisure Suit Larry 7 - Love for Sail!;/opt/brickdos/scummvm/start-pi/Leisure Suit Larry 7.sh
Lemmings 1;/opt/brickdos/dos/start-pi-x/Lemmings 1.sh
Lemmings 1 - Holiday Lemmings;/opt/brickdos/dos/start-pi-x/Lemmings 1 - Holiday Lemmings.sh
Lemmings 1 - Oh No! More Lemmings;/opt/brickdos/dos/start-pi-x/Lemmings 1 - Oh No! More Lemmings.sh
Lemmings 1 - XMAS Lemmings;/opt/brickdos/dos/start-pi-x/Lemmings 1 - XMAS Lemmings.sh
Lemmings 2 - The Tribes;/opt/brickdos/dos/start-pi-x/Lemmings 2 - The Tribes.sh
Lemmings 3 - All New World of Lemmings;/opt/brickdos/dos/start-pi-x/Lemmings 3 - All New World of Lemmings.sh
Loom;/opt/brickdos/scummvm/start-pi/Loom.sh
Mad TV;/opt/brickdos/dos/start-pi-x/Mad TV.sh
Maniac Mansion;/opt/brickdos/scummvm/start-pi/Maniac Mansion.sh
Maniac Mansion - Day of the Tentacle;/opt/brickdos/scummvm/start-pi/Day Of The Tentacle.sh
Might and Magic 1 - The Secret of the Inner Sanctum;/opt/brickdos/dos/start-pi-x/Might & Magic 1.sh
Might and Magic 2 - Gates to Another World;/opt/brickdos/dos/start-pi-x/Might & Magic 2.sh
Might and Magic 3 - Isles of Terra;/opt/brickdos/dos/start-pi-x/Might & Magic 3.sh
Might and Magic 4 - Clouds of Xeen;/opt/brickdos/dos/start-pi-x/Might & Magic 4.sh
Might and Magic 5 - Darkside of Xeen;/opt/brickdos/dos/start-pi-x/Might & Magic 5.sh
Monkey Island 2 - Le Chuck's Revenge;/opt/brickdos/scummvm/start-pi/Monkey Island 2 - Le Chuck's Revenge.sh
Myst;/opt/brickdos/scummvm/start-pi/Myst.sh
Oil Imperium;/opt/brickdos/dos/start-pi-x/Oil Imperium.sh
Pirates! Gold;/opt/brickdos/dos/start-pi-x/Pirates! Gold.sh
Pizza Connection;/opt/brickdos/dos/start-pi-x/Pizza Connection.sh
Police Quest 1 - In Pursuit of the Death Angel;/opt/brickdos/scummvm/start-pi/Police Quest 1.sh
Police Quest 2 - The Vengeance;/opt/brickdos/scummvm/start-pi/Police Quest 2.sh
Police Quest 3 - The Kindred;/opt/brickdos/scummvm/start-pi/Police Quest 3.sh
Police Quest 4 - Open Season;/opt/brickdos/scummvm/start-pi/Police Quest 4.sh
Police Quest - SWAT;/opt/brickdos/scummvm/start-pi/Police Quest SWAT.sh
Ports of Call;/opt/brickdos/dos/start-pi-x/Ports Of Call.sh
Prince of Persia 1;/opt/brickdos/dos/start-pi-x/Prince of Persia 1.sh
Prince of Persia 2;/opt/brickdos/dos/start-pi-x/Prince of Persia 2.sh
Quake;/opt/brickdos/dos/start-pi-x/Quake.sh
Ravenloft - Stone Prophet;/opt/brickdos/dos/start-pi-x/Ravenloft - Stone Prophet.sh
Ravenloft - Strahd's Possession;/opt/brickdos/dos/start-pi-x/Ravenloft - Strahd's Possession.sh
Redhooks Revenge;/opt/brickdos/dos/start-pi-x/Redhook's Revenge.sh
Rise of the Triad;/opt/brickdos/dos/start-pi-x/Rise Of The Triad.sh
Sam & Max Hit the Road;/opt/brickdos/scummvm/start-pi/Sam and Max - Hit the Road.sh
Scorched Earth;/opt/brickdos/dos/start-pi-x/Scorched Earth.sh
Shadow Warrior;/opt/brickdos/dos/start-pi-x/Shadow Warrior.sh
Shadow Warrior - Twin Dragon;/opt/brickdos/dos/start-pi-x/Shadow Warrior - Twin Dragon.sh
Shadow Warrior - Wanton Destruction;/opt/brickdos/dos/start-pi-x/Shadow Warrior - Wanton Destruction.sh
Shooting Gallery;/opt/brickdos/dos/start-pi-x/Shooting Gallery.sh
Silverball;/opt/brickdos/dos/start-pi-x/Silverball.sh
SimCity;/opt/brickdos/dos/start-pi-x/SimCity.sh
SimCity 2000;/opt/brickdos/dos/start-pi-x/SimCity 2000.sh
SimFarm;/opt/brickdos/dos/start-pi-x/SimFarm.sh
Simon the Sorcerer 1;/opt/brickdos/scummvm/start-pi/Simon the Sorcerer 1.sh
Simon the Sorcerer 2;/opt/brickdos/scummvm/start-pi/Simon the Sorcerer 2.sh
Space Quest 1 - The Sarien Encounter;/opt/brickdos/scummvm/start-pi/Space Quest 1.sh
Space Quest 2 - Vohaul’s Revenge;/opt/brickdos/scummvm/start-pi/Space Quest 2.sh
Space Quest 3 - The Pirates of Pestulon;/opt/brickdos/scummvm/start-pi/Space Quest 3.sh
Space Quest 4 - Roger Wilco and the Time Rippers;/opt/brickdos/scummvm/start-pi/Space Quest 4.sh
Space Quest 5 - The Next Mutation;/opt/brickdos/scummvm/start-pi/Space Quest 5.sh
Space Quest 6 - Roger Wilco in the Spinal Frontier;/opt/brickdos/scummvm/start-pi/Space Quest 6.sh
Star Goose;/opt/brickdos/dos/start-pi-x/Star Goose.sh
Stunts;/opt/brickdos/dos/start-pi-x/Stunts.sh
Super Speed;/opt/brickdos/dos/start-pi-x/Super Speed.sh
Test Drive 3;/opt/brickdos/dos/start-pi-x/Test Drive 3.sh
The Black Cauldron;/opt/brickdos/scummvm/start-pi/Black Cauldron.sh
The Curse of Monkey Island;/opt/brickdos/scummvm/start-pi/The Curse of Monkey Island.sh
The Dig;/opt/brickdos/scummvm/start-pi/The Dig.sh
The Elder Scrolls 2 - Daggerfall;/opt/brickdos/dos/start-pi-x/The Elder Scrolls II - Daggerfall.sh
The Game of Robot Junior;/opt/brickdos/dos/start-pi-x/The Game of Robot Junior.sh
The Game of Robot 1;/opt/brickdos/dos/start-pi-x/The Game of Robot 1.sh
The Game of Robot 2;/opt/brickdos/dos/start-pi-x/The Game of Robot 2.sh
The Game of Robot 3;/opt/brickdos/dos/start-pi-x/The Game of Robot 3.sh
The Game of Robot 4;/opt/brickdos/dos/start-pi-x/The Game of Robot 4.sh
The Incredible Machine;/opt/brickdos/dos/start-pi-x/The Incredible Machine.sh
The Legend of Kyrandia 1;/opt/brickdos/scummvm/start-pi/Legend of Kyrandia 1.sh
The Legend of Kyrandia 2 - Hand of Fate;/opt/brickdos/scummvm/start-pi/Legend of Kyrandia 2 - Hand of Fate.sh
The Legend of Kyrandia 3 - Malcolms Revenge;/opt/brickdos/scummvm/start-pi/Legend of Kyrandia 3 - Malcolms Revenge.sh
The Lion King;/opt/brickdos/dos/start-pi-x/Lion King.sh
The Need for Speed;/opt/brickdos/dos/start-pi-x/Need for Speed.sh
The Secret of Monkey Island;/opt/brickdos/scummvm/start-pi/The Secret of Monkey Island.sh
Theme Hospital;/opt/brickdos/dos/start-pi-x/Theme Hospital.sh
Theme Park;/opt/brickdos/dos/start-pi-x/Theme Park.sh
Ultima 1 - The First Age of Darkness;/opt/brickdos/dos/start-pi-x/Ultima 1.sh
Ultima 2 - The Revenge of the Enchantress;/opt/brickdos/dos/start-pi-x/Ultima 2.sh
Ultima 3 - Exodus;/opt/brickdos/dos/start-pi-x/Ultima 3.sh
Ultima 4 - Quest of the Avatar;/opt/brickdos/dos/start-pi-x/Ultima 4.sh
Ultima 5 - Warriors of Destiny;/opt/brickdos/dos/start-pi-x/Ultima 5.sh
Ultima 6 - The False Prophet;/opt/brickdos/dos/start-pi-x/Ultima 6.sh
Ultima 7 - The Black Gate;/opt/brickdos/dos/start-pi-x/Ultima 7.sh
Ultima 7 - Part Two - Serpent Isle;/opt/brickdos/dos/start-pi-x/Ultima 7 - Expansion.sh
Ultima 8 - Pagan;/opt/brickdos/dos/start-pi-x/Ultima 8.sh
Ultima Underworld 1 - The Stygian Abyss;/opt/brickdos/dos/start-pi-x/Ultima Underworld 1.sh
Ultima Underworld 2 - Labyrinth of Worlds;/opt/brickdos/dos/start-pi-x/Ultima Underworld 2.sh
Vision 1;/opt/brickdos/dos/start-pi-x/Vision 1.sh
Vision 2;/opt/brickdos/dos/start-pi-x/Vision 2.sh
Wacky Wheels;/opt/brickdos/dos/start-pi-x/Wacky Wheels.sh
Warcraft 1 - Orcs & Humans;/opt/brickdos/dos/start-pi-x/Warcraft 1.sh
Warcraft 2 - Tides of Darkness;/opt/brickdos/dos/start-pi-x/Warcraft 2 - Tides of Darkness.sh
Warcraft 2 - Beyond The Dark Portal;/opt/brickdos/dos/start-pi-x/Warcraft 2 - Beyond The Dark Portal.sh
Whiplash;/opt/brickdos/dos/start-pi-x/Whiplash.sh
Window Wizard;/opt/brickdos/dos/start-pi-x/Window Wizard.sh
Wing Commander 1 + The Secrect Missions;/opt/brickdos/dos/start-pi-x/Wing Commander 1 with Secrect Missions.sh
Wing Commander 1 - The Secrect Missions 2 - Crusade;/opt/brickdos/dos/start-pi-x/Wing Commander 1 - The Secrect Missions 2 - Crusade.sh
Wing Commander 2 - Vengeance of the Kilrathi;/opt/brickdos/dos/start-pi-x/Wing Commander 2 - Vengeance of the Kilrathi.sh
Wing Commander 2 - Special Operation 1;/opt/brickdos/dos/start-pi-x/Wing Commander 2 - Special Operation 1.sh
Wing Commander 2 - Special Operation 2;/opt/brickdos/dos/start-pi-x/Wing Commander 2 - Special Operation 2.sh
Wolfenstein 3D;/opt/brickdos/dos/start-pi-x/Wolfenstein 3D.sh
Wolfenstein 3D - Spear of Destiny;/opt/brickdos/dos/start-pi-x/Wolfenstein 3D - Spear of Destiny.sh
Worms United;/opt/brickdos/dos/start-pi-x/Worms United.sh
Z;/opt/brickdos/dos/start-pi-x/Z.sh
Zak McKracken and the Alien Mindbenders;/opt/brickdos/scummvm/start-pi/Zak McKracken and the Alien Mindbenders.sh
